line,trayect,name
1,1,PUNTA DEL ESTE
1,2,
1,3,PUNTA DEL ESTE DE VIAL
1,4,SAN CARLOS VIAL
1,6,SAN CARLOS X LAVAGNA
4,3,
5,1,
5,2,SAN CARLOS
6,2,SAN CARLOS DESDE TNAL
7,1,PUNTA DEL ESTE
7,2,SAN CARLOS
7,3,PUNTA DEL ESTE
7,4,7/24 SAN CARLOS
8,1,PIRIÁPOLIS
8,2,P. DEL ESTE  DESDE PIRIA
9,1,PUNTA DEL ESTE
9,2,MALDONADO
9,3,9 Y 12 PUNTA DEL ESTE
9,4,9 Y 12 MALDONADO
12,1,PUNTA DEL ESTE
12,2,MALDONADO
12,4,DIRECTO MLDO.
14,1,JOSÉ IGNACIO
14,2,MALDONADO
15,1,BAL. BS. AS.
15,2,MALDONADO
24,1,PUNTA DEL ESTE DESDE AG
24,2,SAN CARLOS A AG
24,3,P. DEL ESTE DE VIAL
24,4,SAN ACRLOS A VIAL.
24,5,P. DEL ESTEDE AG. X LAV.
24,6,
24,7,
24,8,SAN CARLOS SEMI DIRECTO VIAL
24,9,
24,10,SAN CARLOS SEMI DIRECTO LAV
48,1,
49,1,
49,2,AGENCIA MLDO.
50,1,LAUSANA
50,2,MALDONADO
55,1,BAL. BS. AS. DESDE MALDONADO
55,2,
60,1,
61,1,
61,2,
80,1,LOCAL SAN CARLOS